## 1Thes  azbyka.ru/biblia/?1Thes.X&utfcs
# 1Thess 1
1:1	[Заⷱ҇ 262] Па́ѵелъ и҆ сїлꙋа́нъ и҆ тїмоѳе́й цр҃кви солꙋ́нстѣй ѡ҆ бз҃ѣ ѻ҆ц҃ѣ̀ и҆ гдⷭ҇ѣ і҆и҃сѣ хрⷭ҇тѣ̀: блгⷣть ва́мъ и҆ ми́ръ ѿ бг҃а ѻ҆ц҃а̀ на́шегѡ и҆ гдⷭ҇а і҆и҃са хрⷭ҇та̀.
1:2	Благодари́мъ бг҃а всегда̀ ѡ҆ всѣ́хъ ва́съ, помина́нїе ѡ҆ ва́съ творѧ́ще въ моли́твахъ на́шихъ,
1:3	непреста́ннѡ помина́юще ва́ше дѣ́ло вѣ́ры, и҆ трꙋ́дъ любвѐ, и҆ терпѣ́нїе ᲂу҆пова́нїѧ гдⷭ҇а на́шегѡ і҆и҃са хрⷭ҇та̀, пред̾ бг҃омъ и҆ ѻ҆ц҃е́мъ на́шимъ,
1:4	вѣ́дѧще, бра́тїе возлю́бленнаѧ, ѿ бг҃а и҆збра́нїе ва́ше:
1:5	ꙗ҆́кѡ бл҃говѣствова́нїе на́ше не бы́сть къ ва́мъ въ сло́вѣ то́чїю, но и҆ въ си́лѣ, и҆ въ дс҃ѣ ст҃ѣ, и҆ во и҆звѣще́нїи мно́зѣ, ꙗ҆́коже и҆ вѣ́сте, каковѝ бы́хомъ въ ва́съ ра́ди ва́съ.
1:6	[Заⷱ҇ 263] И҆ вы̀ подѡ́бницы бы́сте на́мъ и҆ гдⷭ҇ꙋ, прїе́мше сло́во въ ско́рби мно́зѣ съ ра́достїю дх҃а ст҃а́гѡ,
1:7	ꙗ҆́кѡ бы́ти ва́мъ ѡ҆́бразъ всѣ̑мъ вѣ́рꙋющымъ въ македо́нїи и҆ а҆ха́їи.
1:8	Ѿ ва́съ бо промче́сѧ сло́во гдⷭ҇не не то́кмѡ въ македо́нїи и҆ а҆ха́їи, но и҆ во всѧ́ко мѣ́сто вѣ́ра ва́ша, ꙗ҆́же къ бг҃ꙋ, и҆зы́де, ꙗ҆́кѡ не тре́бовати на́мъ глаго́лати что̀.
1:9	Ті́и бо ѡ҆ на́съ возвѣща́ютъ, како́въ вхо́дъ и҆мѣ́хомъ къ ва́мъ, и҆ ка́кѡ ѡ҆брати́стесѧ къ бг҃ꙋ ѿ і҆́дѡлъ, рабо́тати бг҃ꙋ жи́вꙋ и҆ и҆́стиннꙋ
1:10	и҆ жда́ти сн҃а є҆гѡ̀ съ нб҃съ, є҆го́же воскр҃сѝ и҆з̾ ме́ртвыхъ, і҆и҃са, и҆збавлѧ́ющаго на́съ ѿ гнѣ́ва грѧдꙋ́щагѡ.

# 1Thess 2
2:1	[Заⷱ҇ 264] Са́ми бо вѣ́сте, бра́тїе, вхо́дъ на́шъ и҆́же къ ва́мъ, ꙗ҆́кѡ не вотщѐ бы́сть:
2:2	но предпострада́вше и҆ досажде́ни бы́вше, ꙗ҆́коже вѣ́сте, въ фїлі́ппѣхъ, дерзнꙋ́хомъ ѡ҆ бз҃ѣ на́шемъ глаго́лати къ ва́мъ бл҃говѣствова́нїе бж҃їе со мно́гимъ по́двигомъ.
2:3	Оу҆тѣше́нїе бо на́ше не ѿ пре́лести, ни ѿ нечистоты̀, ни ле́стїю:
2:4	но ꙗ҆́коже и҆скꙋси́хомсѧ ѿ бг҃а вѣ́рни бы́ти прїѧ́ти бл҃говѣствова́нїе, та́кѡ глаго́лемъ, не а҆́ки человѣ́кѡмъ ᲂу҆гожда́юще, но бг҃ꙋ и҆скꙋша́ющемꙋ сердца̀ на̑ша.
2:5	Никогда́же бо въ словесѝ ласка́нїѧ бы́хомъ къ ва́мъ, ꙗ҆́коже вѣ́сте, нижѐ въ винѣ̀ лихоима́нїѧ: бг҃ъ свидѣ́тель:
2:6	ни и҆́щꙋще ѿ человѣ̑къ сла́вы, ни ѿ ва́съ, ни ѿ и҆нѣ́хъ:
2:7	могꙋ́ще въ тѧготѣ̀ бы́ти, ꙗ҆́коже хрⷭ҇тѡ́вы а҆пⷭ҇ли, но бы́хомъ ти́си посредѣ̀ ва́съ, ꙗ҆́коже дои́лица грѣ́етъ своѧ̑ ча̑да.
2:8	Та́кѡ жела́юще ва́съ, благоволи́хомъ пода́ти ва́мъ не то́чїю бл҃говѣствова́нїе бж҃їе, но и҆ дꙋ́шы своѧ̑, зане́же возлю́блени бы́сте на́мъ.
2:9	[Заⷱ҇ 265] По́мните бо, бра́тїе, трꙋ́дъ на́шъ и҆ по́двигъ: но́щь бо и҆ де́нь дѣ́лающе, да не ѡ҆тѧготи́мъ ни є҆ди́нагѡ ѿ ва́съ, проповѣ́дахомъ ва́мъ бл҃говѣствова́нїе бж҃їе.
2:10	Вы̀ свидѣ́телє и҆ бг҃ъ, ꙗ҆́кѡ прпⷣбнѡ и҆ првⷣнѡ и҆ непоро́чнѡ ва́мъ вѣ́рꙋющымъ бы́хомъ,
2:11	ꙗ҆́коже вѣ́сте, занѐ є҆ди́наго кого́ждо ва́съ, ꙗ҆́коже ѻ҆те́цъ ча̑да своѧ̑,
2:12	молѧ́ще и҆ ᲂу҆тѣша́юще ва́съ, и҆ свидѣ́тельствꙋюще ва́мъ ходи́ти досто́йнѡ бг҃ꙋ, призва́вшемꙋ вы̀ во своѐ црⷭ҇тво и҆ сла́вꙋ.
2:13	Сегѡ̀ ра́ди и҆ мы̀ благодари́мъ бг҃а непреста́ннѡ, ꙗ҆́кѡ прїе́мше сло́во слы́шанїѧ бж҃їѧ ѿ на́съ, прїѧ́сте не а҆́ки сло́во человѣ́ческо, но, ꙗ҆́коже є҆́сть вои́стиннꙋ, сло́во бж҃їе, є҆́же и҆ дѣ́йствꙋетсѧ въ ва́съ вѣ́рꙋющихъ.
2:14	[Заⷱ҇ 266] Вы́ бо подѡ́бницы бы́сте, бра́тїе, цр҃квамъ бж҃їимъ сꙋ́щымъ во і҆ꙋде́и ѡ҆ хрⷭ҇тѣ̀ і҆и҃сѣ, занѐ та̑ѧжде и҆ вы̀ пострада́сте ѿ свои́хъ сплемє́нникъ, ꙗ҆́коже и҆ ті́и ѿ і҆ꙋдє́й,
2:15	ᲂу҆би́вшихъ и҆ гдⷭ҇а і҆и҃са и҆ є҆гѡ̀ прⷪ҇ро́ки, и҆ на́съ и҆згна́вшихъ, и҆ бг҃ꙋ не ᲂу҆годи́вшихъ, и҆ всѣ̑мъ человѣ́кѡмъ проти́вѧщихсѧ,
2:16	(и҆) возбранѧ́ющихъ на́мъ глаго́лати ꙗ҆зы́кѡмъ, да спасꙋ́тсѧ, во є҆́же и҆спо́лнити и҆̀мъ грѣхѝ своѧ̑ всегда̀: пости́же же на ни́хъ гнѣ́въ до конца̀.
2:17	Мы́ же, бра́тїе, ѡ҆сиротѣ́вше ѿ ва́съ ко вре́мени часа̀ лице́мъ, а҆ не се́рдцемъ, ли́шше тща́хомсѧ лицѐ ва́ше ви́дѣти мно́гимъ жела́нїемъ.
2:18	Тѣ́мже хотѣ́хомъ прїитѝ къ ва́мъ, а҆́зъ ᲂу҆́бѡ па́ѵелъ, є҆ди́ною и҆ два́жды: и҆ возбранѝ на́мъ сатана̀.
2:19	Кто́ бо на́мъ ᲂу҆пова́нїе и҆лѝ ра́дость и҆лѝ вѣне́цъ похвале́нїѧ; Не и҆ вы́ ли пред̾ гдⷭ҇емъ на́шимъ і҆и҃съ хрⷭ҇то́мъ во прише́ствїи є҆гѡ̀;
2:20	[Заⷱ҇ 267] Вы́ бо є҆стѐ сла́ва на́ша и҆ ра́дость.

# 1Thess 3
3:1	Тѣ́мже ᲂу҆жѐ не терпѧ́ще, благоволи́хомъ ѡ҆ста́тисѧ во а҆ѳи́нѣхъ є҆ди́ни,
3:2	и҆ посла́хомъ тїмоѳе́а, бра́та на́шего и҆ слꙋжи́телѧ бж҃їѧ и҆ споспѣ́шника на́шего во бл҃говѣ́стїи хрⷭ҇то́вѣ, ᲂу҆тверди́ти ва́съ и҆ ᲂу҆тѣ́шити ѡ҆ вѣ́рѣ ва́шей,
3:3	ꙗ҆́кѡ ни є҆ди́номꙋ смꙋща́тисѧ въ ско́рбехъ си́хъ: са́ми бо вѣ́сте, ꙗ҆́кѡ на сїѐ и҆́стое лежи́мъ {ᲂу҆чине́ни є҆смы̀}.
