## Jona  azbyka.ru/biblia/?Jona.X&utfcs
# Jonah 1
1:1	И҆ бы́сть сло́во гдⷭ҇не ко і҆ѡ́нѣ сы́нꙋ а҆маѳі́инꙋ, гл҃ѧ:
1:2	воста́ни и҆ и҆дѝ въ нїнеѵі́ю гра́дъ вели́кїй и҆ проповѣ́ждь въ не́мъ, ꙗ҆́кѡ взы́де во́пль ѕло́бы є҆гѡ̀ ко мнѣ̀.
1:3	И҆ воста̀ і҆ѡ́на, є҆́же бѣжа́ти въ ѳарсі́съ ѿ лица̀ гдⷭ҇нѧ и҆ сни́де во і҆ѻппі́ю и҆ ѡ҆брѣ́те кора́бль и҆дꙋ́щь въ ѳарсі́съ, и҆ дадѐ нае́мъ сво́й и҆ вни́де во́нь плы́ти съ ни́ми въ ѳарсі́съ ѿ лица̀ гдⷭ҇нѧ.
1:4	И҆ гдⷭ҇ь воздви́же вѣ́тръ ве́лїй на мо́ри, и҆ бы́сть бꙋ́рѧ вели́каѧ въ мо́ри, и҆ кора́бль бѣ́дствоваше є҆́же сокрꙋши́тисѧ.
1:5	И҆ ᲂу҆боѧ́шасѧ корабе́льницы, и҆ возопи́ша кі́йждо къ бо́гꙋ своемꙋ̀, и҆ и҆змета́нїе сотвори́ша сосꙋ́дѡвъ и҆̀же въ кораблѝ въ мо́ре, є҆́же ѡ҆блегчи́тисѧ ѿ ни́хъ: і҆ѡ́на же сни́де во дно̀ кораблѧ̀ и҆ спа́ше тꙋ̀ и҆ храплѧ́ше.
1:6	И҆ прїи́де къ немꙋ̀ ко́рмчїй и҆ речѐ є҆мꙋ̀ что̀ ты̀ хра́плеши; воста́ни и҆ молѝ бг҃а твоего̀, ꙗ҆́кѡ да сп҃се́тъ ны̀ бг҃ъ, да не поги́бнемъ.
1:7	И҆ речѐ кі́йждо ко и҆́скреннемꙋ своемꙋ̀: прїиди́те, ве́ржимъ жрє́бїѧ и҆ ᲂу҆разꙋмѣ́емъ, когѡ̀ ра́ди є҆́сть ѕло̀ сїѐ на на́съ; И҆ ме́тнꙋша жрє́бїѧ, и҆ падѐ жре́бїй на і҆ѡ́нꙋ.
1:8	И҆ рѣ́ша къ немꙋ̀: возвѣстѝ на́мъ, когѡ̀ ра́ди сїѐ ѕло̀ на на́съ, и҆ что̀ твоѐ дѣ́ланїе є҆́сть, и҆ ѿкꙋ́дꙋ грѧде́ши и҆ ка́мѡ и҆́деши, и҆ ѿ ко́еѧ страны̀ и҆ ѿ кі́ихъ люді́й є҆сѝ ты̀;
1:9	И҆ речѐ къ ни̑мъ: ра́бъ гдⷭ҇ень є҆́смь а҆́зъ и҆ гдⷭ҇а бг҃а нбⷭ҇наго а҆́зъ чтꙋ̀, и҆́же сотворѝ мо́ре и҆ сꙋ́шꙋ.
1:10	И҆ ᲂу҆боѧ́шасѧ мꙋ́жїе стра́хомъ вели́кимъ и҆ рѣ́ша къ немꙋ̀: что̀ сїѐ сотвори́лъ є҆сѝ; Занѐ разꙋмѣ́ша мꙋ́жїе, ꙗ҆́кѡ ѿ лица̀ гдⷭ҇нѧ бѣжа́ше, ꙗ҆́кѡ возвѣстѝ и҆̀мъ.
1:11	И҆ рѣ́ша къ немꙋ̀: что̀ тебѣ̀ сотвори́мъ, и҆ ᲂу҆толи́тсѧ мо́ре ѿ на́съ; Занѐ мо́ре восхожда́ше и҆ воздвиза́ше па́че волне́нїе.
1:12	И҆ речѐ къ ни̑мъ і҆ѡ́на: возми́те мѧ̀ и҆ вве́рзите въ мо́ре, и҆ ᲂу҆толи́тсѧ мо́ре ѿ ва́съ поне́же позна́хъ а҆́зъ, ꙗ҆́кѡ менѐ ра́ди волне́нїе сїѐ вели́кое на вы̀ є҆́сть.
1:13	И҆ нꙋжда́хꙋсѧ мꙋ́жїе, возврати́тисѧ къ землѝ, и҆ не можа́хꙋ, ꙗ҆́кѡ мо́ре восхожда́ше и҆ воздвиза́шесѧ па́че на ни́хъ.
1:14	И҆ возопи́ша ко гдⷭ҇еви и҆ рѣ́ша: ника́коже, гдⷭ҇и, да не поги́бнемъ дꙋшѝ ра́ди человѣ́ка сегѡ̀, и҆ не да́ждь на на́съ кро́ве првⷣныѧ: занѐ ты̀, гдⷭ҇и, ꙗ҆́коже восхотѣ́лъ, сотвори́лъ є҆сѝ.
1:15	И҆ взѧ́ша і҆ѡ́нꙋ и҆ вверго́ша є҆го̀ въ мо́ре, и҆ преста̀ мо́ре ѿ волне́нїѧ своегѡ̀.
